Word,Example
grains vegetables fruits,"Food classes include cereals (grains), vegetables, fruits, oils, meat, milk, eggs and fungi."
growing,Farmers use a fallow year to conserve soil moisture to use for growing a crop in the following year.
harvest,"The contracting of independent operators of farm equipment to harvest crops, especially grains, on a particular farm."
harvest human,An integrated livestock-crop production system in which crops are harvested for human consumption and then the crop residues or byproducts are used as feed for livestock.
harvested time,The crops may be harvested at the same time or at different times.
improved,Water efficiency can be improved by reducing the need for irrigation and using alternative methods.
industrial agriculture,Many of the negative effects of industrial agriculture may emerge at some distance from fields and farms.
irrigation,"Irrigation systems may also be used as a means of protecting crops from frost, suppressing the growth of weeds, preventing soil consolidation, cooling livestock, and controlling airborne dust."
irrigation animal waste,"They may also intensify by using manure, artificial irrigation and animal waste as fertilizer."
irrigation effects,The environmental impacts of irrigation  relate to the changes in quantity and quality of soil and water as a result of irrigation and the effects on natural and social conditions in river basins and downstream of an irrigation scheme.
land,"Conservation tillage, a farming process which helps prevent land loss to erosion, reduces water pollution, and enhances carbon sequestration."
land called gardener,A person using such techniques on small patches of land might be called a gardener and be considered a hobbyist.
land common ownership,"A type of rangeland on which livestock, particularly cattle, roam freely regardless of land ownership and without being enclosed by fences."
land example,"Intensive animal farming involves large numbers of animals raised on limited land, for example by rotational grazing."
land nature,Growing more per acre leaves more land for nature
levels soil,"Plant breeders are involved in breeding for tolerance to frost, continuous snow-cover, frost-drought (desiccation from wind and solar radiation under frost)and high moisture levels in soil in winter."
livestock,"A dry area in the Middle East where farmers graze livestock and grow olives, vegetables, and grains."
livestock production,"Meat is obtained through a variety of methods, including organic farming, free range farming, intensive livestock production, subsistence agriculture, hunting, and fishing."
local agricultural,Local agricultural systems and genetic diversity are developed and strengthened by crop improvement.
major crop,"Before the adoption of the potato as a major crop, the dependence on grain had caused repetitive regional and national famines when the crops failed"
modern farms,Modern farms in developed countries are highly mechanized.
nations farmer,"In developed nations, a farmer (as a profession) is usually defined as someone with an ownership interest in crops or livestock, and who provides land or management in their production."
origins agriculture,Scholars have developed a number of hypotheses to explain the historical origins of agriculture.
past century agriculture,In the past century agriculture has been characterized by increased productivity.
people plants,"The environmental impact of agriculture involves impacts on a variety of different factors: the soil, to water, the air, animal and soil variety, people, plants, and the food itself."
period farmer,"During this same period, farmers began to use steam-powered threshers and tractors."
pest management selective,"The growth of organic farming has renewed research in alternative technologies such as integrated pest management, selective breeding and controlled-environment agriculture."
plant,"Modern agronomy, plant breeding, agrochemicals such as pesticides and fertilizers, and technological developments have sharply increased crop yields."
plant material,"Grassland based livestock production relies upon plant material such as shrubland, rangeland, and pastures for feeding ruminant animals."
plant seeds,These seeds allow the farmer to grow a crop that can be sprayed with herbicides to control weeds without harming the resistant crop.
plants cut,"Grasses, legumes, or other herbaceous plants that have been cut, dried, and stored as fodder for animals, especially livestock."
population,"From 100 BC to 1600 AD, world population continued to grow along with land use."
provide farmers,Technological advancements help provide farmers with tools and resources to make farming more sustainable.
required drying crop,"A type of agricultural machinery that cuts hay or small grain crops and forms them into a windrow, with the goal of decreasing the time required for drying the crop to a moisture content suitable for harvesting and storage."
requiring irrigation,"In subtropical and arid environments, the timing and extent of agriculture may be limited by rainfall, either not allowing multiple annual crops in a year, or requiring irrigation."
result livestock,"Most of the methane emissions result from the use of livestock, in particular ruminants such as cattle and pigs."
seed source production,Seed propagated cultivars require specific control over seed source and production procedures to maintain the integrity of the plant breeds results.
selection,"If this interaction is severe enough, an important trait required for the organic environment may not be revealed in the conventional environment, which can result in the selection of poorly adapted individuals."
soil,Plowing and fertilizers were introduced to deal with these problems—but once again involved longer hours of work and degradation of soil resources.
soil cover,"Field residues may be maintained as soil cover, burned, or ploughed into the soil as green manure."
soil quality,"Soil degradation is the decline in soil quality that can be a result of many factors, especially from agriculture."
soil temperature,"Crop residues left covering the surface of the soil may result in reduced evaporation of water, a lower surface soil temperature, and reduction of wind effects."
soil various types,"The preparation of agricultural soil by any of various types of mechanical agitation, whether human-powered, animal-powered, or mechanised."
tillage designed,A type of conservation tillage designed to conserve soil quality by minimizing the amount of soil manipulation necessary for successful crop production.
tractor international harvester,"The first commercially successful gasoline-powered general purpose tractor in 1901, and the 1923 International Harvester Farmall tractor marked a major point in the replacement of draft animals."
traditional farming,"Subsistence agriculture usually refers to farmers growing various food crops strictly for use by themselves and their families,  generally implies small amounts of inputs, use of crude or traditional farming tools, reliance on unskilled labor,  low yields, and little or no surplus."
type agriculture,"Industrial agriculture, is a type of agriculture, both of crop plants and of animals, with higher levels of input and output per unit of agricultural land area."
vegetables sometimes grains,"A variety of farm-produced food crops, usually including fruits and vegetables and sometimes also grains and other products."
water irrigation,The use of solar powered irrigation in Pakistan is said to be a closed system for agricultural water irrigation.
yield,These inventions increased yields and allowed individual farmers to manage increasingly large farms.
yield increases,"Further, global yield increases were experienced later in the 20th century when high-yield varieties of common staple grains such as rice, wheat, and corn were introduced as a part of the Green Revolution."
yield services,"Land transformation, the use of land to yield goods and services, is the most substantial way humans alter the Earth's ecosystems."
yield reduce,Agriculture seeks to increase yield and to reduce costs.
